barcode,tea_name,brand,tea_type,category
8901030826394,Lipton Green Tea,Lipton,Green Tea,Traditional
8901030826387,Lipton Black Tea,Lipton,Black Tea,Traditional
070177176013,Twinings Earl Grey,Twinings,Earl Grey,Specialty
070177154011,Twinings English Breakfast,Twinings,Black Tea,Traditional
8901138510024,Tetley Masala Tea,Tetley,Chai Tea,Specialty
8901138509806,Tetley Green Tea,Tetley,Green Tea,Traditional
8906009450012,Wagh Bakri Premium Tea,Wagh Bakri,Black Tea,Traditional
8906009450357,Wagh Bakri Masala Tea,Wagh Bakri,Chai Tea,Specialty
8906111240014,Taj Mahal Tea,Taj Mahal,Black Tea,Traditional
794522219001,Organic India Tulsi Green Tea,Organic India,Green Tea,Traditional
794522219018,Organic India Chamomile Tea,Organic India,Chamomile Tea,Herbal
041000000027,Bigelow Green Tea,Bigelow,Green Tea,Traditional
041000001024,Bigelow Earl Grey,Bigelow,Earl Grey,Specialty
030684019455,Stash Green Tea,Stash,Green Tea,Traditional
030684070432,Stash Chai Spice,Stash,Chai Tea,Specialty
9312631141023,Dilmah Ceylon Tea,Dilmah,Black Tea,Traditional
9312631141030,Dilmah Green Tea,Dilmah,Green Tea,Traditional
8901234567001,Premium Oolong Tea,Tea Master,Oolong Tea,Traditional
8901234567002,Silver Needle White Tea,Tea Master,White Tea,Traditional
8901234567003,Authentic Pu-erh Tea,Tea Master,Pu-erh Tea,Traditional
8901234567004,Classic Yellow Tea,Tea Master,Yellow Tea,Traditional
8901234567101,Chamomile Herbal Infusion,Herbal Bliss,Chamomile Tea,Herbal
8901234567102,Peppermint Fresh Tea,Herbal Bliss,Peppermint Tea,Herbal
8901234567103,Ginger Root Tea,Natural Care,Ginger Tea,Herbal
8901234567104,Hibiscus Flower Tea,Natural Care,Hibiscus Tea,Herbal
8901234567105,Rooibos Red Tea,Africa Pure,Rooibos Tea,Herbal
8901234567106,Lavender Relax Tea,Calm Life,Lavender Tea,Herbal
8901234567107,Lemon Balm Herbal Tea,Calm Life,Lemon Balm Tea,Herbal
8901234567201,Jasmine Green Tea,Orient Leaf,Jasmine Tea,Specialty
8901234567202,Premium Matcha Powder,Zen Leaf,Matcha Tea,Specialty
8901234567203,Spiced Indian Chai,Desi Brew,Chai Tea,Specialty
8901234567301,Turmeric Wellness Tea,Health First,Turmeric Tea,Medicinal
8901234567302,Echinacea Immune Tea,Health First,Echinacea Tea,Medicinal
8901234567303,Nettle Detox Tea,Nature Care,Nettle Tea,Medicinal
8901234567304,Dandelion Root Tea,Nature Care,Dandelion Tea,Medicinal
8901234567401,Rosehip Fruit Tea,Berry Fresh,Rosehip Tea,Fruit
8901234567402,Blueberry Herbal Tea,Berry Fresh,Blueberry Tea,Fruit
8901234567403,Raspberry Leaf Tea,Berry Fresh,Raspberry Leaf Tea,Fruit
8901234567501,Roasted Barley Tea,Asian Roots,Barley Tea,Asian Specialty
8901234567502,Chrysanthemum Flower Tea,Asian Roots,Chrysanthemum Tea,Asian Specialty
041000008429,Green Tea,Lipton,Green Tea Orange Passionfruit Jasmine (20 ct)
041000693847,Green Tea,Lipton,Magnificent Matcha Green Tea with Ginger (15 ct)
794522730636,Green Tea,Lipton,Decaffeinated Green Tea (40 ct)
041000077203,Green Tea,Lipton,Green Tea (20 ct)
072310008410,Green Tea,Bigelow,Jasmine Green Tea (20 ct,pack of 6)
072310001459,Green Tea,Bigelow,Green Tea with Lemon (20 ct)
072310001305,Green Tea,Bigelow,Green Tea with Peach (20 ct)
072310024519,Green Tea,Bigelow,Classic Green Tea (168 ct)
077652082593,Green Tea,Stash,Decaf Premium Green Tea (18 ct)
077652083835,Green Tea,Stash,Organic Decaf Premium Green Tea (18 ct)
794522201433,Green Tea,Tazo,Organic Pan-Fired Green Tea (20 ct,pack of 6)
794522201020,Green Tea,Tazo,Ginger Green Tea (20 ct,pack of 3)
636046354397,Green Tea,Harney & Sons,Green Tea with Coconut,Ginger and Vanilla (30 sachets)
073469301346,Green Tea,Yamamotoyama,Genmaicha Green Tea (16 ct) – also listed under Genmaicha
855614005244,Green Tea,MatchaDNA,Certified Organic Matcha Green Tea (100 ct)
096619533022,Green Tea,Kirkland (Ito En),Matcha Blend Japanese Green Tea (100 ct)
864777000225,Green Tea,Chalait,Ceremonial Matcha (30 g) – also listed under Matcha
868034000263,Green Tea,Matcha Maiden,Organic Matcha Powder (28.35 g) – also listed under Matcha
070177858070,Black Tea,Twinings,English Breakfast K‑Cup Pods (24 ct)
070177173517,Black Tea,Twinings,Decaffeinated English Breakfast (20 ct)
070177233389,Black Tea,Twinings,Pure Black Iced Tea Bags (72 ct)
070177136499,Black Tea,Twinings,Everyday (80 ct)
700064832370,Black Tea,Lipton,100% Natural Black Tea (100 ct,pack of 2)
041000731334,Black Tea,Lipton,Black Tea (312 ct)
041000369063,Black Tea,Lipton,K‑Cup Black Tea
011156060015,Black Tea,Tetley,British Blend Premium Black Tea (80 ct)
072310001770,Black Tea,Bigelow,English Teatime (20 ct)
077652082654,Black Tea,Stash,Double Spice Chai Black Tea (18 ct)
072310001992,Oolong Tea,Bigelow,Oolong Tea (20 ct,pack of 3)
156754567532,Oolong Tea,Elmwood Inn,Black Dragon Oolong Tea (16 oz loose)
672145001411,Oolong Tea,Revolution,Dragon Eye Oolong Tea (30 ct)
664435407300,Oolong Tea,ZIN,Grape Oolong (50 ct)
053554749116,Oolong Tea,Strong Aroma,Premium Anxi Tie Guan Yin (250 g loose)
893574001821,Oolong Tea,Octavia Tea,Rose Oolong (1.23 oz tin)
881314290826,Oolong Tea,Mountain Tea,Alishan Oolong (141.7 g loose)
777303090198,Oolong Tea,Van Cheong,Taiwanese Ginseng Oolong (300 g loose)
636046101229,Oolong Tea,Harney & Sons,Raspberry Herbal (50 ct) – also listed under Hibiscus
077652082210,Chamomile Tea,Stash,Chamomile Herbal (20 ct)
072310000414,Chamomile Tea,Bigelow,Cozy Chamomile (20 ct)
